Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
12/15/15,3189,3391,0,16278,1205,1774,686283,1045,7000,915,0,1205,47%,6.7,0:05:19,0,0,0,0%,13981,5361,1369,1082,684,569,244,158,12480,1.3s,52%,4.8,0:03:22
12/16/15,3169,3388,0,17256,1346,1686,742888,1021,7616,885,0,1346,43%,7.5,0:06:06,0,0,0,0%,14836,5642,1463,1072,701,569,256,182,13819,1.16s,50%,5.1,0:03:39
12/17/15,3225,3467,0,17407,1215,1840,639285,1049,8314,901,0,1215,43%,7.9,0:05:15,0,0,0,0%,15243,5340,1270,977,653,557,241,155,13782,1.07s,53%,5,0:03:04
12/18/15,2648,2809,0,14327,1156,1506,532148,837,5197,737,0,344,48%,6.2,0:04:00,0,0,0,0%,12348,4334,1312,1005,513,438,154,121,11219,1.15s,54%,5.1,0:03:09
12/19/15,1773,1884,0,8045,235,1091,310685,456,2121,406,0,222,53%,4.7,0:03:52,0,0,0,0%,6946,2537,723,537,297,255,79,46,6282,1.15s,58%,4.3,0:02:45
12/20/15,1769,1869,0,8943,227,1042,281463,435,2615,379,0,227,54%,6,0:02:47,0,0,0,0%,7685,2545,892,647,299,260,67,44,6630,1.27s,56%,4.8,0:02:31
12/21/15,2877,3078,0,12961,1200,1533,645998,944,5205,827,0,1200,42%,5.5,0:05:34,0,0,0,0%,10853,4891,1340,1006,572,479,196,138,9598,1.23s,50%,4.2,0:03:30
12/22/15,2841,3036,0,14150,1065,1651,553327,899,5623,768,0,1065,46%,6.3,0:04:50,0,0,0,0%,12078,4734,1359,1023,501,425,212,153,11204,1.17s,54%,4.7,0:03:02
12/23/15,2475,2653,0,12411,996,1399,522650,769,4809,662,0,996,50%,6.3,0:05:36,0,0,0,0%,10734,4146,1068,775,486,403,123,88,9933,1.08s,53%,4.7,0:03:17
12/24/15,1880,1993,0,9120,357,1084,319851,519,2317,460,0,246,52%,4.5,0:02:47,0,0,0,0%,7948,3015,800,581,272,238,100,64,7323,1.23s,54%,4.6,0:02:40
